category,sub_category,job_title,province,job_company,job_industry,job_finance,job_scale,job_welfare,job_experience,job_education,job_skills,salary_lower,salary_high,city,district,street
后端开发,Java,资深java工程师/技术专家,四川,支付宝,互联网,B轮,10000人以上,"法定节假日三薪,住房补贴,员工旅游,免费班车,五险一金,团建聚餐,年终奖,餐补,股票期权,定期体检,带薪年假,补充医疗保险",0,本科,"Java,系统架构,高可用",16,32,成都,武侯区,新会展中心
后端开发,Java,大数据云服务开发工程师,上海,华为云计算,计算机服务,不需要融资,10000人以上,"年终奖,生日福利,员工旅游,加班补助,住房补贴,交通补助,意外险,法定节假日三薪,绩效奖金,节日福利,带薪年假,补充医疗保险,节假日加班费,保底工资,零食下午茶,团建聚餐,五险一金,免费班车,夜班补助,定期体检",1,本科,"Java,C++,Hive,C,Docker,Zookeeper,Hadoop,,",15,30,上海,浦东新区,金桥
后端开发,Java,Java（双休/加班费/福利好）,浙江,银信科技,计算机软件,已上市,1000-9999人,"员工旅游,补充医疗保险,带薪年假,零食下午茶,定期体检,五险一金,节日福利,通讯补贴,餐补,年终奖",2,本科,"Java,分布式经验,微服务经验,SpringCloud,MySQL,,,",11,17,杭州,滨江区,长河
后端开发,Java,java开发工程师,浙江,华为技术有限公司,计算机软件,不需要融资,10000人以上,"五险一金,节日福利,加班补助,带薪年假,交通补助,全勤奖,定期体检,补充医疗保险,股票期权,离职补偿,节假日加班费,零食下午茶,绩效奖金,住房补贴,团建聚餐,年终奖,法定节假日三薪,保底工资,通讯补贴,员工旅游",0,本科,"后端工程师,全栈工程师,架构师,Java,JavaScript,",15,30,杭州,滨江区,长河
后端开发,Java,java技术专家,上海,得物App,电子商务,B轮,1000-9999人,"股票期权,带薪年假,生日福利,餐补,加班补助,定期体检,年终奖,零食下午茶,绩效奖金,五险一金,交通补助,节日福利",3,本科,"Java,Spring,Kafka,MySQL,Redis,其他,,,",30,60,上海,杨浦区,长阳路
后端开发,Java,高级java研发工程师,浙江,找家纺网,电子商务,B轮,100-499人,"五险一金,包吃,员工旅游,带薪年假,股票期权,节日福利,包住宿",3,本科,"Java,不接受居家办公,Elasticsearch,SpringCloud,,",20,25,杭州,滨江区,长河
后端开发,Java,【急招】JAVA技术工程师/专家-财富线,浙江,蚂蚁集团,互联网,D轮及以上,10000人以上,"五险一金,交通补助,定期体检,免费班车,年终奖,全勤奖,带薪年假,通讯补贴,股票期权,餐补,节日福利,加班补助,包吃,员工旅游,住房补贴,零食下午茶",1,本科,"Java,Spring,SpringCloud,Elasticsearch,MySQL,Redis,,,,",30,60,杭州,西湖区,西溪
后端开发,Java,腾讯云Java后台开发,广东,腾讯,互联网,不需要融资,10000人以上,"补充医疗保险,五险一金,年终奖,定期体检,节日福利,员工旅游,免费班车,团建聚餐,公仔周边活动,交通补助,有无线网,带薪年假,意外险,免费健身房",3,本科,"Java,微服务经验,SpringCloud,MySQL,Spring",30,60,深圳,南山区,科技园
后端开发,Java,跨境搜索推荐引擎工程师,上海,上海从鲸信息技术,互联网,未融资,500-999人,五险一金,0,本科,"Java,C++,不接受居家办公,分布式经验,微服务经验,,,",30,60,上海,长宁区,中山公园
后端开发,Java,Java开发工程师,广东,阿里巴巴集团,互联网,已上市,10000人以上,"零食下午茶,年终奖,补充医疗保险,股票期权,节日福利,交通补助,餐补,免费班车,员工旅游,五险一金",1,本科,"分布式技术,多线程,Spring,架构师,后端开发,JDK,,",25,50,深圳,南山区,深圳湾
后端开发,Java,JAVA研发工程师,新疆,海狼科技,信息安全,未融资,0-20人,"带薪年假,加班补助,零食下午茶,五险一金,股票期权,员工旅游,通讯补贴,交通补助,年终奖,节日福利",1,学历不限,"Java,后端开发,数据库",8,10,乌鲁木齐,天山区,新华北路
后端开发,Java,java技术经理,浙江,中电金信,计算机软件,B轮,10000人以上,"节日福利,定期体检,补充医疗保险,五险一金",3,本科,"国内院校优先,Java,不接受居家办公,SpringCloud,Kafka,,,,,,,,,",20,30,杭州,西湖区,高新文教区
后端开发,Java,Java中级-小程序开发-自研,江苏,南京网推,计算机软件,不需要融资,0-20人,缴纳五险,3,本科,"Java,Spring,SpringCloud,MyBatis,MySQL,Redis,,",13,18,南京,雨花台区,软件大道
后端开发,Java,集成开发工程师,上海,每刻,企业服务,B轮,500-999人,"五险一金,定期体检,带薪年假,加班补助,股票期权,年终奖,通讯补贴,人体工学椅,餐补",0,3个月,"不接受居家办公,Java,Spring,MySQL",130,170元/天,上海,静安区,南京西路
后端开发,Java,Java高级研发工程师,浙江,安恒信息,信息安全,已上市,1000-9999人,"年终奖,员工旅游,补充医疗保险,定期体检,餐补,五险一金,节日福利,零食下午茶,通讯补贴,带薪年假,交通补助",2,本科,"Java,系统架构,数据库",15,30,杭州,滨江区,长河
后端开发,Java,wms开发工程师,广东,广东飞讯工业互联网,互联网,100-499人,无,"节日福利,零食下午茶,带薪年假,底薪加提成,意外险,五险一金",2,硕士,"不接受居家办公,Java,Python,PHP,Spring,SQL Server,,,",10,11,惠州,惠城区,东平桥东
