"category","sub_category","job_title","province","job_location","job_company","job_industry","job_finance","job_scale","job_welfare","job_salary_range","job_experience","job_education","job_skills","create_time"
"后端开发","Java","Java开发工程师","四川","成都·双流区·华阳","智水安澜","计算机软件","未融资","0-20人","","6-8K","1-3年","本科","HTML,CSS,SQL,消息队列,SpringBoot,Spring,,","2024-12-19"
"后端开发","Java","资深java工程师/技术专家","四川","成都·武侯区·新会展中心","支付宝","互联网","B轮","10000人以上","法定节假日三薪，住房补贴，员工旅游，免费班车，五险一金，团建聚餐，年终奖，餐补，股票期权，定期体检，带薪年假，补充医疗保险","16-32K","经验不限","本科","Java,系统架构,高可用","2024-12-19"
"后端开发","Java","Java","浙江","杭州·上城区·湖滨","云卷云舒","移动互联网","天使轮","20-99人","","10-15K","3-5年","本科","Java,后端开发,全栈开发,架构师,软件工程师,CTO,,","2024-12-19"
"后端开发","Java","大数据云服务开发工程师","上海","上海·浦东新区·金桥","华为云计算","计算机服务","不需要融资","10000人以上","年终奖，生日福利，员工旅游，加班补助，住房补贴，交通补助，意外险，法定节假日三薪，绩效奖金，节日福利，带薪年假，补充医疗保险，节假日加班费，保底工资，零食下午茶，团建聚餐，五险一金，免费班车，夜班补助，定期体检","15-30K","1-3年","本科","Java,C++,Hive,C,Docker,Zookeeper,Hadoop,,","2024-12-19"
"后端开发","Java","Java（双休/加班费/福利好）","浙江","杭州·滨江区·长河","银信科技","计算机软件","已上市","1000-9999人","员工旅游，补充医疗保险，带薪年假，零食下午茶，定期体检，五险一金，节日福利，通讯补贴，餐补，年终奖","11-17K","3-5年","本科","Java,分布式经验,微服务经验,SpringCloud,MySQL,,,","2024-12-19"
"后端开发","Java","java开发工程师","浙江","杭州·滨江区·长河","华为技术有限公司","计算机软件","不需要融资","10000人以上","五险一金，节日福利，加班补助，带薪年假，交通补助，全勤奖，定期体检，补充医疗保险，股票期权，离职补偿，节假日加班费，零食下午茶，绩效奖金，住房补贴，团建聚餐，年终奖，法定节假日三薪，保底工资，通讯补贴，员工旅游","15-30K·16薪","经验不限","本科","后端工程师,全栈工程师,架构师,Java,JavaScript,","2024-12-19"
"后端开发","Java","java技术专家","上海","上海·杨浦区·长阳路","得物App","电子商务","B轮","1000-9999人","股票期权，带薪年假，生日福利，餐补，加班补助，定期体检，年终奖，零食下午茶，绩效奖金，五险一金，交通补助，节日福利","30-60K·16薪","5-10年","本科","Java,Spring,Kafka,MySQL,Redis,其他,,,","2024-12-19"
"后端开发","Java","高级java研发工程师","浙江","杭州·滨江区·长河","找家纺网","电子商务","B轮","100-499人","五险一金，包吃，员工旅游，带薪年假，股票期权，节日福利，包住宿","20-25K","5-10年","本科","Java,不接受居家办公,Elasticsearch,SpringCloud,,","2024-12-19"
"后端开发","Java","【急招】JAVA技术工程师/专家-财富线","浙江","杭州·西湖区·西溪","蚂蚁集团","互联网","D轮及以上","10000人以上","五险一金，交通补助，定期体检，免费班车，年终奖，全勤奖，带薪年假，通讯补贴，股票期权，餐补，节日福利，加班补助，包吃，员工旅游，住房补贴，零食下午茶","30-60K·16薪","1-3年","本科","Java,Spring,SpringCloud,Elasticsearch,MySQL,Redis,,,,","2024-12-19"
"后端开发","Java","腾讯云Java后台开发","广东","深圳·南山区·科技园","腾讯","互联网","不需要融资","10000人以上","补充医疗保险，五险一金，年终奖，定期体检，节日福利，员工旅游，免费班车，团建聚餐，公仔周边活动，交通补助，有无线网，带薪年假，意外险，免费健身房","30-60K·16薪","5-10年","本科","Java,微服务经验,SpringCloud,MySQL,Spring","2024-12-19"
"后端开发","Java","java开发工程师","北京","北京","中科软","计算机软件","已上市","10000人以上","五险一金，定期体检，加班补助，年终奖，员工旅游，团队氛围好，餐补，节日福利，零食下午茶，带薪年假","13-22K","10年以上","本科","Java,SpringCloud,MySQL,Spring","2024-12-19"
"后端开发","Java","跨境搜索推荐引擎工程师","上海","上海·长宁区·中山公园","上海从鲸信息技术","互联网","未融资","500-999人","五险一金","30-60K·16薪","经验不限","本科","Java,C++,不接受居家办公,分布式经验,微服务经验,,,","2024-12-19"
"后端开发","Java","Java开发工程师","广东","深圳·南山区·深圳湾","阿里巴巴集团","互联网","已上市","10000人以上","零食下午茶，年终奖，补充医疗保险，股票期权，节日福利，交通补助，餐补，免费班车，员工旅游，五险一金","25-50K·16薪","1-3年","本科","分布式技术,多线程,Spring,架构师,后端开发,JDK,,","2024-12-19"
"后端开发","Java","java中级工程师","湖南","长沙","优力电驱动","其他新能源","B轮","100-499人","带薪年假，绩效奖金，意外险，五险一金，节日福利，零食下午茶","8-12K","3-5年","大专","分布式技术,微服务架构,SpringCloud,NoSQL,MongoDB,,,","2024-12-19"
"后端开发","Java","JAVA研发工程师","新疆","乌鲁木齐·天山区·新华北路","海狼科技","信息安全","未融资","0-20人","带薪年假，加班补助，零食下午茶，五险一金，股票期权，员工旅游，通讯补贴，交通补助，年终奖，节日福利","8-10K","1-3年","学历不限","Java,后端开发,数据库","2024-12-19"
"后端开发","Java","软件开发工程师","广东","东莞·塘厦镇·观澜湖","东莞市星辰互动电子","电子/半导体/集成电路","不需要融资","","工龄奖，宿舍有空调，包吃，法定节假日三薪，底薪加提成，团建聚餐，绩效奖金，五险一金，节假日加班费，包住，全勤奖，加班补助，有无线网","17-22K","5-10年","本科","C++,C,其他","2024-12-19"
"后端开发","Java","初级java开发工程师","四川","成都","迅联科锐","计算机软件","不需要融资","20-99人","餐补，全勤奖，工龄奖，法定节假日三薪，年终奖，五险一金","100-150元/天","5天/周","6个月","Java,Spring,MySQL","2024-12-19"
"后端开发","Java","java技术经理","浙江","杭州·西湖区·高新文教区","中电金信","计算机软件","B轮","10000人以上","节日福利，定期体检，补充医疗保险，五险一金","20-30K·13薪","5-10年","本科","国内院校优先,Java,不接受居家办公,SpringCloud,Kafka,,,,,,,,,","2024-12-19"
"后端开发","Java","Java中级-小程序开发-自研","江苏","南京·雨花台区·软件大道","南京网推","计算机软件","不需要融资","0-20人","缴纳五险","13-18K","5-10年","本科","Java,Spring,SpringCloud,MyBatis,MySQL,Redis,,","2024-12-19"
"后端开发","Java","集成开发工程师","上海","上海·静安区·南京西路","每刻","企业服务","B轮","500-999人","五险一金，定期体检，带薪年假，加班补助，股票期权，年终奖，通讯补贴，人体工学椅，餐补","130-170元/天","5天/周","3个月","不接受居家办公,Java,Spring,MySQL","2024-12-19"
"后端开发","Java","Java高级研发工程师","浙江","杭州·滨江区·长河","安恒信息","信息安全","已上市","1000-9999人","年终奖，员工旅游，补充医疗保险，定期体检，餐补，五险一金，节日福利，零食下午茶，通讯补贴，带薪年假，交通补助","15-30K·15薪","3-5年","本科","Java,系统架构,数据库","2024-12-19"
"后端开发","Java","wms开发工程师","广东","惠州·惠城区·东平桥东","广东飞讯工业互联网","互联网","100-499人","无","节日福利，零食下午茶，带薪年假，底薪加提成，意外险，五险一金","10-11K","3-5年","硕士","不接受居家办公,Java,Python,PHP,Spring,SQL Server,,,","2024-12-19"
"后端开发","Java","Java","海南","海口·龙华区·海秀中路","北京华亿嘉科技有...","互联网","天使轮","0-20人","加班补助，带薪年假，股票期权，交通补助，餐补，年终奖，五险一金，定期体检，节日福利，零食下午茶","15-20K","5-10年","本科","高级软件工程师,软件工程师,WEB开发,服务器端开发,,,,","2024-12-19"
"后端开发","Java","Java工程师（WMS产品线）","上海","上海·闵行区·虹桥","上海马帮","电子商务","B轮","500-999人","股票期权，交通补助，年终奖，零食下午茶，带薪年假，节日福利，餐补，全勤奖，团建聚餐，定期体检，免费工装，加班补助，通讯补贴，生日福利，五险一金，员工旅游，高温补贴，有无线网","18-22K·13薪","3-5年","本科","Java,分布式经验,微服务经验,SpringCloud,MySQL,,","2024-12-19"
"后端开发","Java","后端开发工程师","浙江","杭州·钱塘区·下沙","智物慧云","智能硬件","天使轮","20-99人","五险一金，零食下午茶，年终奖，股票期权，员工旅游，节日福利，定期体检，带薪年假","5-8K","1年以内","本科","Java,Spring,MyBatis,Kafka,MySQL,Redis,,,","2024-12-19"
"后端开发","Java","游戏地图开发","广东","广州·白云区·黄石","广州魔影网络科技...","移动互联网","0-20人","无","节日福利，全勤奖，住房补贴，五险一金，零食下午茶，年终奖","3-8K","1-3年","学历不限","Python,Java,Lua","2024-12-19"
"后端开发","Java","Java 开发工程师","江苏","南京·雨花台区·南京南站","丹卓科技","企业服务","0-20人","无","","8-13K","3-5年","大专","HTML,CSS","2024-12-19"
"后端开发","Java","Java开发工程师","安徽","合肥·蜀山区·政务区","金谷科技","计算机软件","未融资","20-99人","股票期权，带薪年假，五险一金，加班补助，补充医疗保险，餐补，员工旅游，年终奖，定期体检","10-15K","1-3年","本科","Framework,Android","2024-12-19"
"后端开发","Java","Java开发g工程师","四川","成都·双流区·华阳","金牌厨柜成都","原材料及加工/模具","已上市","10000人以上","全勤奖，年终奖，有无线网，工龄奖，五险一金，加班补助，生日福利，宿舍有空调，节日福利，带薪年假","10-15K·13薪","5-10年","学历不限","后端工程师,Java,Spring,MongoDB,Oracle,Docker,,,","2024-12-19"
"后端开发","Java","高级Java开发工程师","广东","深圳·南山区·华侨城","碳云智能科技有限公司","医疗健康","A轮","500-999人","带薪年假，补充医疗保险，年终奖，定期体检，五险一金","20-40K","5-10年","大专","多线程,分布式技术,微服务架构,SpringBoot,Dubbo,,,","2024-12-19"
"后端开发","C/C++","软件开发工程师-OD","北京","北京·海淀区·西北旺","华为","计算机软件","不需要融资","10000人以上","夜班补助，五险一金，免费班车，保底工资，生日福利，定期体检，节日福利，意外险，员工旅游，餐补，零食下午茶，节假日加班费，交通补助，法定节假日三薪，绩效奖金，加班补助，带薪年假，年终奖，股票期权，补充医疗保险","15-20K","1-3年","本科","软件开发","2024-12-19"
"后端开发","C/C++","自动驾驶编译工具工程师","北京","北京·海淀区·西北旺","滴滴","移动互联网","D轮及以上","1000-9999人","五险一金，补充医疗保险，定期体检","30-60K·15薪","3-5年","本科","Python","2024-12-19"
"后端开发","C/C++","C++","四川","成都·金牛区·驷马桥","鑫泰网络科技","电子商务","20-99人","无","五险一金，零食下午茶，年终奖，带薪年假，全勤奖，节日福利","15-25K","3-5年","本科","网络编程,音视频编解码,流媒体技术,Linux,STL,,","2024-12-19"
"后端开发","C/C++","具身智能部署集成工程师","北京","北京·海淀区·学院路","星海图GalaXea AI","智能硬件","天使轮","20-99人","节日福利，带薪年假，年终奖，团建聚餐，五险一金，股票期权，保底工资，绩效奖金","25-50K·14薪","1-3年","硕士","C++,C,Python,人工智能,机器人,AI","2024-12-19"
"后端开发","C/C++","C++","浙江","杭州","浙江大华","计算机软件","已上市","1000-9999人","五险一金，带薪年假，通讯补贴，定期体检，住房补贴，餐补，员工旅游，补充医疗保险，年终奖，交通补助，股票期权，节日福利","14-24K·16薪","3-5年","本科","C/C++,C++,QT,C,嵌入式软件经验,Linux开发/部署经验","2024-12-19"
